"order_date","mau"
2017-01-01,2330
2017-02-01,1932
2017-03-01,2106
2017-04-01,2467
2017-05-01,2562
2017-06-01,2512
2017-07-01,2652
2017-08-01,2621
2017-09-01,1851
2017-10-01,2306
2017-11-01,2282
2017-12-01,2631
2018-01-01,2797
2018-02-01,2416
2018-03-01,2514
2018-04-01,2986
2018-05-01,3105
2018-06-01,2980
2018-07-01,2972
2018-08-01,2945
2018-09-01,2039
2018-10-01,2441
2018-11-01,2647
2018-12-01,3002
2019-01-01,3222
2019-02-01,2694
2019-03-01,3077
2019-04-01,3536
2019-05-01,3579
2019-06-01,3520
2019-07-01,3592
2019-08-01,3663
2019-09-01,2705
2019-10-01,3015
2019-11-01,3257
2019-12-01,3617
2020-01-01,2792
2020-02-01,2449
2020-03-01,2574
2020-04-01,3023
2020-05-01,3053
2020-06-01,2982
2020-07-01,3090
2020-08-01,3051
2020-09-01,2143
2020-10-01,2718
2020-11-01,2873
2020-12-01,3064
2021-01-01,3055
2021-02-01,2527
2021-03-01,2686
2021-04-01,3336
2021-05-01,3492
2021-06-01,3350
2021-07-01,3539
2021-08-01,3716
2021-09-01,2712
2021-10-01,3230
2021-11-01,3551
2021-12-01,4534
